acpi 1.7-3
antibody 6.1.1-1
ao 7.0.1-1
arandr 0.1.10-7
arc-icon-theme 20161122-3
aura-bin 3.2.6-1
autoconf 2.71-1
automake 1.16.5-1
base 2-2
binutils 2.36.1-3
bison 3.8.2-1
blueman 2.2.3-2
bluez 5.63-1
bluez-utils 5.63-1
boost 1.78.0-1
cfssl 1.6.1-2
cups 1:2.4.0-4
devtools 20211129-1
dialog 1:1.3_20211214-1
discord 0.0.16-1
displaylink 5.4.1-1
docker 1:20.10.12-1
docker-rootless-extras-bin 20.10.9-1
dolphin 21.12.1-1
dosfstools 4.2-1
efibootmgr 17-2
etcd 3.5.1-1
exfatprogs 1.1.3-1
fakeroot 1.27-1
fasd 1.0.1-3
fd 8.3.1-1
firefox 96.0.2-1
flameshot-git r1537.65f8ac04-1
flex 2.6.4-3
fprintd 1.94.1-1
fzf 0.29.0-1
gcc 11.1.0-3
git 2.34.1-1
gnome-keyring 1:40.0-1
google-chrome 96.0.4664.110-1
gotop 4.1.2-1
graphviz 2.50.0-2
groff 1.22.4-6
grub 2:2.06-4
gtk2 2.24.33-2
gtkmm 1:2.24.5-4
highlight 4.1-1
htop 3.1.2-1
imv 4.3.1-2
intel-ucode 20210608-1
jq 1.6-4
kitty 0.24.1-1
lastpass-cli 1.3.3-2
lib32-giflib 5.2.1-1
lib32-gnutls 3.7.3-1
lib32-gst-plugins-base-libs 1.18.4-1
lib32-gtk3 3.24.31-1
lib32-libgcrypt 1.9.4-1
lib32-libjpeg-turbo 2.1.2-1
lib32-libpng 1.6.37-3
lib32-libpulse 15.0-1
lib32-libva 2.13.0-1
lib32-libxcomposite 0.4.5-1
lib32-libxinerama 1.1.4-1
lib32-libxslt 1.1.34-2
lib32-mpg123 1.29.3-1
lib32-ocl-icd 2.3.1-1
lib32-openal 1.21.1-2
lib32-v4l-utils 1.22.1-1
libfprint 1.94.2-1
libtool 2.4.6+42+gb88cebd5-16
linux 5.16.1.arch1-1
linux-firmware 20211216.f682ecb-1
linux-headers 5.16.1.arch1-1
lvm2 2.03.14-2
m4 1.4.19-1
make 4.3-3
man-db 2.9.4-2
mpg123 1.29.3-1
mtools 1:4.0.37-1
ncdu 1.16-2
neofetch 7.1.0-2
neovim 0.6.1-1
